Name,Platform,Format,Now Playing,Ownership Status,Progress Status
Contraption Maker,PC / Windows,Digital (Steam),No,Owned,Incomplete
"Cook, Serve, Delicious!",PC / Windows,Digital (Steam),Yes,Owned,Incomplete
Cortex Command,PC / Windows,Digital (Steam),No,Owned,Never Playing
Cosmic DJ,PC / Windows,Digital (Steam),No,Owned,Completionated
Costume Quest,PC / Windows,Digital (Steam),Yes,Owned,Incomplete
Craft the World,PC / Windows,Digital (Steam),No,Owned,Finished
Crayon Physics Deluxe,PC / Windows,Digital (Steam),No,Owned,Incomplete
Creeper World III: Arc Eternal,PC / Windows,Digital (Steam),No,Owned,Incomplete
Crimsonland,PC / Windows,Digital (Steam),No,Owned,Finished
Crowntakers,PC / Windows,Digital (Steam),No,Owned,Finished
Crypt of the NecroDancer,PC / Windows,Digital (Steam),Yes,Owned,Incomplete
Cube & Star: An Arbitrary Love,PC / Windows,Digital (Steam),No,Owned,Finished
Darwinia,PC / Windows,Digital (Steam),No,Owned,Finished
Day of the Tentacle: Remastered,PC / Windows,Digital (Steam),Yes,Owned,Incomplete
Deadbolt,PC / Windows,Digital (Steam),No,Owned,Incomplete
Dear Esther: Landmark Edition,PC / Windows,Digital (Steam),No,Owned,Incomplete
Deathtrap,PC / Windows,Digital (Steam),No,Owned,Never Playing
Defcon,PC / Windows,Digital (Steam),No,Owned,Never Playing
Defender's Quest: Valley of the Forgotten,PC / Windows,Digital (Steam),Yes,Owned,Incomplete
Democracy 3,PC / Windows,Digital (Steam),No,Owned,Incomplete
Deponia,PC / Windows,Digital (Steam),Yes,Owned,Incomplete
Descent,PC / Windows,Digital (GOG),No,Owned,Incomplete
Descent 3: Mercenary,PC / Windows,Digital (GOG),No,Owned,Incomplete
Descent II,PC / Windows,Digital (GOG),No,Owned,Finished
Descent: Underground,PC / Windows,Digital (Steam),No,Owned,Incomplete
Deus Ex,PC / Windows,Digital (Steam),No,Owned,Incomplete
Devil Daggers,PC / Windows,Digital (Steam),No,Owned,Incomplete
DiRT 3,PC / Windows,Digital (Steam),Yes,Owned,Incomplete
DiRT Showdown,PC / Windows,Digital (Steam),No,Owned,Incomplete
Dishonored,PC / Windows,Digital (Steam),Yes,Owned,Incomplete
Divine Divinity,PC / Windows,Digital (GOG),No,Owned,Incomplete
Divinity: Original Sin - Enhanced Edition,PC / Windows,Digital (Steam),Yes,Owned,Incomplete
Don't Starve,PC / Windows,Digital (Steam),No,Owned,Incomplete
Don't Starve Together,PC / Windows,Digital (Steam),No,Owned,Incomplete
Door Kickers,PC / Windows,Digital (GOG),No,Owned,Retired
Downwell,PC / Windows,Digital (Steam),Yes,Owned,Incomplete
Drox Operative,PC / Windows,Digital (Steam),No,Owned,Finished
Dungeon Defenders,PC / Windows,Digital (Steam),No,Owned,Finished
Dungeon Keeper,PC / Windows,Digital (GOG),No,Owned,Incomplete
Dungeon Keeper: Gold Edition,PC / Windows,Digital (GOG),No,Owned,Incomplete
Dungeon Keeper: The Deeper Dungeons,PC / Windows,Digital (GOG),No,Owned,Incomplete
Dungeon of the Endless,PC / Windows,Digital (Steam),No,Owned,Finished
Dungeons of Dredmor,PC / Windows,Digital (Steam),No,Owned,Retired
Dust: An Elysian Tail,PC / Windows,Digital (Steam),No,Owned,Retired
Dustforce,PC / Windows,Digital (Steam),No,Owned,Retired
Dynamite Jack,PC / Windows,Digital (Steam),No,Owned,Never Playing
Edge,PC / Windows,Digital (Steam),No,Owned,Finished
Eets Munchies,PC / Windows,Digital (Steam),No,Owned,Never Playing
Eldritch,PC / Windows,Digital (Steam),Yes,Owned,Incomplete
Electronic Super Joy,PC / Windows,Digital (Steam),No,Owned,Retired
Elegy for a Dead World,PC / Windows,Digital (Steam),No,Owned,Never Playing
Endless Legend,PC / Windows,Digital (Steam),No,Owned,Finished
Endless Space,PC / Windows,Digital (Steam),No,Owned,Retired
English Country Tune,PC / Windows,Digital (Steam),No,Owned,Never Playing
Environmental Station Alpha,PC / Windows,Digital (Steam),No,Owned,Incomplete
Epic Battle Fantasy 4,PC / Windows,Digital (Steam),No,Owned,Incomplete
Escape Goat,PC / Windows,Digital (Steam),No,Owned,Incomplete
Escape Goat 2,PC / Windows,Digital (Steam),No,Owned,Incomplete
Europa Universalis IV,PC / Windows,Digital (Steam),No,Owned,Incomplete
Expand,PC / Windows,Digital (Steam),No,Owned,Never Playing
Fez,PC / Windows,Digital (Steam),No,Owned,Completionated
Fotonica,PC / Windows,Digital (Steam),No,Owned,Incomplete
Fractal: Make Blooms Not War,PC / Windows,Digital (Steam),No,Owned,Finished
Freedom Planet,PC / Windows,Digital (GOG),No,Owned,Finished
Freespace 2,PC / Windows,Digital (GOG),No,Owned,Incomplete
Frozen Cortex,PC / Windows,Digital (Steam),No,Owned,Never Playing
Frozen Synapse,PC / Windows,Digital (Steam),No,Owned,Finished
FTL: Faster Than Light,PC / Windows,Digital (Steam),No,Owned,Completionated
Full Mojo Rampage,PC / Windows,Digital (Steam),Yes,Owned,Incomplete
Gabriel Knight: Sins of the Fathers - 20th Anniversary Edition,PC / Windows,Digital (GOG),No,Owned,Incomplete
Galak-Z,PC / Windows,Digital (Steam),Yes,Owned,Incomplete
Gemini Rue,PC / Windows,Digital (Steam),No,Owned,Incomplete
Geneforge,PC / Windows,Digital (GOG),No,Owned,Incomplete
Geneforge 2,PC / Windows,Digital (GOG),No,Owned,Incomplete
Geneforge 3,PC / Windows,Digital (GOG),No,Owned,Incomplete
Geneforge 4,PC / Windows,Digital (GOG),No,Owned,Incomplete
