Name,Platform,Format,Now Playing,Ownership Status,Progress Status
Tales from Space: Mutant Blobs Attack,PC / Windows,Digital (Steam),No,Owned,Incomplete
Tales from the Borderlands,PC / Windows,Digital (Steam),No,Owned,Completionated
Tales from the Borderlands: Episode 1 - Zer0 Sum,PC / Windows,Digital (Steam),No,Owned,Incomplete
Tales from the Borderlands: Episode 2 - Atlas Mugged,PC / Windows,Digital (Steam),No,Owned,Incomplete
Tales from the Borderlands: Episode 3 - Catch a Ride,PC / Windows,Digital (Steam),No,Owned,Incomplete
Tales from the Borderlands: Episode 4 - Escape Plan Bravo,PC / Windows,Digital (Steam),No,Owned,Incomplete
Tales from the Borderlands: Episode 5 - The Vault of the Traveler,PC / Windows,Digital (Steam),No,Owned,Incomplete
Tales of Maj'Eyal,PC / Windows,Digital (Steam),No,Owned,Incomplete
Technobabylon,PC / Windows,Digital (Steam),No,Owned,Incomplete
Teleglitch: Die More Edition,PC / Windows,Digital (Steam),No,Owned,Incomplete
Terraria,PC / Windows,Digital (Steam),No,Owned,Incomplete
Tesla Effect: A Tex Murphy Adventure,PC / Windows,Digital (Steam),No,Owned,Never Playing
Tex Murphy: Overseer,PC / Windows,Digital (Steam),No,Owned,Never Playing
The 11th Hour,PC / Windows,Digital (Steam),No,Owned,Incomplete
The 7th Guest,PC / Windows,Digital (Steam),No,Owned,Incomplete
The Banner Saga,PC / Windows,Digital (Steam),Yes,Owned,Incomplete
The Bard's Tale (2004),PC / Windows,Digital (Steam),No,Owned,Incomplete
The Beginner's Guide,PC / Windows,Digital (Steam),No,Owned,Completionated
The Binding of Isaac,PC / Windows,Digital (Steam),No,Owned,Incomplete
The Book of Unwritten Tales,PC / Windows,Digital (GOG),Yes,Owned,Incomplete
The Book of Unwritten Tales 2,PC / Windows,Digital (GOG),No,Owned,Incomplete
The Bridge,PC / Windows,Digital (Steam),No,Owned,Finished
The Dig,PC / Windows,Digital (GOG),Yes,Owned,Incomplete
The Fall,PC / Windows,Digital (Steam),No,Owned,Finished
The Incredible Adventures of Van Helsing,PC / Windows,Digital (Steam),No,Owned,Never Playing
The Last Federation,PC / Windows,Digital (Steam),No,Owned,Finished
The Mean Greens: Plastic Warfare,PC / Windows,Digital (Steam),No,Owned,Incomplete
The Novelist,PC / Windows,Digital (Steam),No,Owned,Incomplete
The Pandora Directive,PC / Windows,Digital (Steam),No,Owned,Incomplete
The Raven: Legacy of a Master Thief,PC / Windows,Digital (Steam),No,Owned,Incomplete
The Shivah,PC / Windows,Digital (Steam),No,Owned,Incomplete
The Swapper,PC / Windows,Digital (Steam),No,Owned,Finished
The Talos Principle,PC / Windows,Digital (Steam),No,Owned,Completionated
The Walking Dead,PC / Windows,Digital (Steam),No,Owned,Completionated
The Walking Dead: Episode 1 - A New Day,PC / Windows,Digital (Steam),No,Owned,Incomplete
The Walking Dead: Episode 2 - Starved for Help,PC / Windows,Digital (Steam),No,Owned,Incomplete
The Walking Dead: Episode 3 - Long Road Ahead,PC / Windows,Digital (Steam),No,Owned,Incomplete
The Walking Dead: Episode 4 - Around Every Corner,PC / Windows,Digital (Steam),No,Owned,Incomplete
The Walking Dead: Episode 5 - No Time Left,PC / Windows,Digital (Steam),No,Owned,Incomplete
The Walking Dead: Season Two,PC / Windows,Digital (Steam),No,Owned,Completionated
The Walking Dead: Season Two - Episode 1: All That Remains,PC / Windows,Digital (Steam),No,Owned,Incomplete
The Walking Dead: Season Two - Episode 2: A House Divided,PC / Windows,Digital (Steam),No,Owned,Incomplete
The Walking Dead: Season Two - Episode 3: In Harm's Way,PC / Windows,Digital (Steam),No,Owned,Incomplete
The Walking Dead: Season Two - Episode 4: Amid the Ruins,PC / Windows,Digital (Steam),No,Owned,Incomplete
The Walking Dead: Season Two - Episode 5: No Going Back,PC / Windows,Digital (Steam),No,Owned,Incomplete
The Witcher,PC / Windows,Digital (GOG),Yes,Owned,Incomplete
The Witcher 2: Assassins of Kings,PC / Windows,Digital (Steam),No,Owned,Incomplete
The Witness,PC / Windows,Digital (Steam),No,Owned,Finished
The Wolf Among Us,PC / Windows,Digital (Steam),No,Owned,Completionated
The Wolf Among Us: Episode 1 - Faith,PC / Windows,Digital (Steam),No,Owned,Incomplete
The Wolf Among Us: Episode 2 - Smoke and Mirrors,PC / Windows,Digital (Steam),No,Owned,Incomplete
The Wolf Among Us: Episode 3 - A Crooked Mile,PC / Windows,Digital (Steam),No,Owned,Incomplete
The Wolf Among Us: Episode 4 - In Sheep's Clothing,PC / Windows,Digital (Steam),No,Owned,Incomplete
The Wolf Among Us: Episode 5 - Cry Wolf,PC / Windows,Digital (Steam),No,Owned,Incomplete
Thomas Was Alone,PC / Windows,Digital (Steam),No,Owned,Finished
Ticket to Ride,PC / Windows,Digital (Steam),No,Owned,Finished
Tidalis,PC / Windows,Digital (Steam),No,Owned,Never Playing
Tiny and Big: Grandpa's Leftovers,PC / Windows,Digital (Steam),No,Owned,Incomplete
TinyKeep,PC / Windows,Digital (Steam),No,Owned,Incomplete
TIS-100,PC / Windows,Digital (GOG),No,Owned,Finished
To the Moon,PC / Windows,Digital (GOG),No,Owned,Incomplete
Toki Tori,PC / Windows,Digital (Steam),No,Owned,Incomplete
Tomb Raider (2013),PC / Windows,Digital (Steam),No,Owned,Completionated
Tomb Raider: Anniversary,PC / Windows,Digital (Steam),No,Owned,Incomplete
Torchlight,PC / Windows,Digital (Steam),No,Owned,Incomplete
Torchlight II,PC / Windows,Digital (Steam),No,Owned,Finished
Tower of Guns,PC / Windows,Digital (Steam),No,Owned,Incomplete
TowerFall Ascension,PC / Windows,Digital (Steam),No,Owned,Incomplete
Trace Vector,PC / Windows,Digital (Steam),No,Owned,Finished
Transistor,PC / Windows,Digital (Steam),No,Owned,Incomplete
Trauma,PC / Windows,Digital (Steam),No,Owned,Never Playing
Treasure Adventure Game,PC / Windows,Digital (GOG),No,Owned,Incomplete
Trine,PC / Windows,Digital (Steam),No,Owned,Finished
Trine 2,PC / Windows,Digital (Steam),No,Owned,Finished
Tropico 3,PC / Windows,Digital (GOG),No,Owned,Incomplete
Tropico 3: Absolute Power,PC / Windows,Digital (GOG),No,Owned,Incomplete
Tropico 3: Gold Edition,PC / Windows,Digital (GOG),No,Owned,Never Playing
Tropico 4,PC / Windows,Digital (Steam),No,Owned,Finished
Tropico 5,PC / Windows,Digital (Steam),No,Owned,Finished
Type:Rider,PC / Windows,Digital (Steam),No,Owned,Finished
Ultimate General: Gettysburg,PC / Windows,Digital (Steam),No,Owned,Never Playing
Under A Killing Moon,PC / Windows,Digital (Steam),No,Owned,Never Playing
Undertale,PC / Windows,Digital (GOG),No,Owned,Incomplete
Unepic,PC / Windows,Digital (Steam),No,Owned,Finished
Uplink,PC / Windows,Digital (Steam),No,Owned,Finished
VA-11 Hall-A: Cyberpunk Bartender Action,PC / Windows,Digital (Steam),Yes,Owned,Incomplete
Valkyria Chronicles,PC / Windows,Digital (Steam),No,Owned,Incomplete
Vessel,PC / Windows,Digital (Steam),No,Owned,Incomplete
Victor Vran,PC / Windows,Digital (GOG),No,Owned,Incomplete
Viscera Cleanup Detail,PC / Windows,Digital (Steam),No,Owned,Incomplete
VVVVVV,PC / Windows,Digital (Steam),No,Owned,Incomplete
Westerado: Double Barreled,PC / Windows,Digital (Steam),No,Owned,Incomplete
Wizorb,PC / Windows,Digital (Steam),No,Owned,Finished
World of Goo,PC / Windows,Digital (Steam),No,Owned,Finished
Worms Reloaded,PC / Windows,Digital (Steam),No,Owned,Never Playing
X-COM: UFO Defense,PC / Windows,Digital (Steam),No,Owned,Incomplete
X3: Terran Conflict,PC / Windows,Digital (Steam),No,Owned,Incomplete
XCOM 2,PC / Windows,Digital (Steam),Yes,Owned,Incomplete
XCOM: Enemy Unknown,PC / Windows,Digital (Steam),No,Owned,Finished
Zak McKracken and the Alien Mindbenders,PC / Windows,Digital (GOG),No,Owned,Incomplete
Zen Bound 2,PC / Windows,Digital (Steam),No,Owned,Finished
